"","TIME_STAMP","WIND_SPEED","WIND_DIR","POWER","DAY","MONTH","YEAR","MIN_TIME","HOUR_TIME","WIND_MOV","SPD_MOV"
"2","2011-03-04",5.945,18,188.7,4,3,2011,960,1600,0.385166666666666,0.000999999999999979
"8","2011-03-04",5.73666666666667,19,182.633333333333,4,3,2011,1020,1700,0.252666666666667,-0.021
"14","2011-03-04",7.11,18,356.783333333333,4,3,2011,1080,1800,0.2675,0.063
"20","2011-03-04",6.74333333333333,18,307.283333333333,4,3,2011,1140,1900,0.280333333333333,-0.047
"26","2011-03-04",5.80666666666667,19,192.2,4,3,2011,1200,2000,0.309,-0.0180000000000001
"32","2011-03-04",4.47333333333333,19,82.95,4,3,2011,1260,2100,0.672166666666667,0.0109999999999999
"38","2011-03-04",3.65833333333333,23,35.5666666666667,4,3,2011,1320,2200,0.603833333333334,-0.036
"44","2011-03-04",4.49833333333333,23,81.9166666666667,4,3,2011,1380,2300,0.755333333333332,-0.015
"50","2011-03-05",4.86833333333333,23,106.666666666667,5,3,2011,0,0,0.178166666666666,-0.00499999999999998
"56","2011-03-05",5.44666666666667,22,154.716666666667,5,3,2011,60,100,0.437333333333333,0.051
"62","2011-03-05",6.25666666666667,23,238.883333333333,5,3,2011,120,200,0.170166666666667,0.00500000000000007
"68","2011-03-05",6.045,23,213,5,3,2011,180,300,0.0895175438596493,-0.026
"70","2011-03-05",5.45,23,154.216666666667,5,3,2011,240,400,0.610055555555557,0.0199999999999999
"76","2011-03-05",4.505,24,82.1833333333333,5,3,2011,300,500,0.483833333333333,-0.0100000000000001
"82","2011-03-05",4.74666666666667,24,98.7333333333333,5,3,2011,360,600,0.366,0.027
"88","2011-03-05",4.84833333333333,24,106.316666666667,5,3,2011,420,700,0.3,0.021
"94","2011-03-05",4.68166666666667,25,94.5333333333333,5,3,2011,480,800,0.3555,-0.0100000000000001
"100","2011-03-05",4.415,24,75.6333333333333,5,3,2011,540,900,0.241,0.015
"106","2011-03-05",4.38666666666667,25,76.4,5,3,2011,600,1000,0.344666666666667,0.00700000000000003
"112","2011-03-05",4.77333333333333,24,102.483333333333,5,3,2011,660,1100,0.342333333333334,0.035
"118","2011-03-05",3.465,24,31.0333333333333,5,3,2011,720,1200,0.5665,-0.035
"124","2011-03-05",3.142,23,19.38,5,3,2011,780,1300,0.4338,-0.014
"129","2011-03-05",3.47833333333333,19,30.15,5,3,2011,840,1400,0.468833333333334,-0.00750000000000002
"135","2011-03-05",4.1,19,57.6833333333333,5,3,2011,900,1500,0.441,-0.00199999999999996
"141","2011-03-05",4.28666666666667,17,65.5166666666667,5,3,2011,960,1600,0.301666666666667,-0.0100000000000001
"147","2011-03-05",5.305,18,136.35,5,3,2011,1020,1700,0.337166666666666,0.025
"153","2011-03-05",4.875,17,102.1,5,3,2011,1080,1800,0.211333333333333,-0.042
"159","2011-03-05",5.255,18,133.383333333333,5,3,2011,1140,1900,0.4515,0.051
"165","2011-03-05",5.35,19,142.816666666667,5,3,2011,1200,2000,0.177499999999999,0.012
"171","2011-03-05",4.478,20,81.48,5,3,2011,1260,2100,0.3894,0.00800000000000001
"176","2011-03-06",2.962,23,12.86,6,3,2011,550,910,0.784588405797102,-0.00111594202898551
"181","2011-03-06",3.01666666666667,22,15.7,6,3,2011,630,1030,0.312083333333334,0.016
"184","2011-03-06",3.10166666666667,22,18.5166666666667,6,3,2011,660,1100,0.545666666666666,0.011
"190","2011-03-06",3.685,22,37.4166666666667,6,3,2011,720,1200,0.862666666666667,0.035
"196","2011-03-06",4.95,21,114.483333333333,6,3,2011,780,1300,0.5525,0.049
"202","2011-03-06",5.24333333333333,20,139.833333333333,6,3,2011,840,1400,0.385333333333333,0.063
"208","2011-03-06",4.61333333333333,20,88.9166666666667,6,3,2011,900,1500,0.362166666666666,0.00899999999999999
"214","2011-03-06",5.91333333333333,20,202.033333333333,6,3,2011,960,1600,0.311666666666667,0.042
"220","2011-03-06",5.50166666666667,18,158.816666666667,6,3,2011,1020,1700,0.5585,-0.029
"226","2011-03-06",4.8,19,98.05,6,3,2011,1080,1800,0.330499999999999,-0.0180000000000001
"232","2011-03-06",3.96333333333333,19,51.65,6,3,2011,1140,1900,0.5785,-0.0300000000000001
"238","2011-03-06",4.18666666666667,20,61.9666666666667,6,3,2011,1200,2000,0.443166666666666,-0.027
"244","2011-03-06",4.91666666666667,21,105.566666666667,6,3,2011,1260,2100,0.316,0.0170000000000001
"250","2011-03-06",4.305,21,73.0833333333333,6,3,2011,1320,2200,0.4375,0.018
"256","2011-03-06",3.04666666666667,22,12.8333333333333,6,3,2011,1380,2300,0.667666666666666,-0.015
"259","2011-03-07",3,23,10.5,7,3,2011,110,150,0.0814666666666667,0.000199999999999999
"260","2011-03-07",3.57666666666667,22,33.5333333333333,7,3,2011,120,200,0.310166666666668,0.069
"266","2011-03-07",3.02333333333333,21,12.9333333333333,7,3,2011,180,300,0.423999999999999,-0.02
"269","2011-03-07",3.4,21,25.825,7,3,2011,240,400,0.7195,0.041
"273","2011-03-07",3.025,21,10,7,3,2011,300,500,0.569166666666667,0.00533333333333334
"275","2011-03-07",3.35,21,19,7,3,2011,410,650,0.1393,0.005
"276","2011-03-07",2.63,20,5.7,7,3,2011,420,700,0.691,-0.072
"277","2011-03-07",3.3,20,23.35,7,3,2011,480,800,0.218194444444445,0.0101666666666667
"283","2011-03-07",3.68,20,23.1,7,3,2011,610,1010,0.0618749999999999,0.01075
"284","2011-03-07",3.63333333333333,20,35.7666666666667,7,3,2011,660,1100,0.2912,-0.000600000000000005
"290","2011-03-07",3.90333333333333,21,46.85,7,3,2011,720,1200,0.5135,0.00499999999999998
"296","2011-03-07",4.395,20,74.1,7,3,2011,780,1300,0.487833333333334,-0.00700000000000003
"302","2011-03-07",4.73333333333333,20,100.2,7,3,2011,840,1400,0.366833333333334,-0.015
"308","2011-03-07",5.38833333333333,20,149.133333333333,7,3,2011,900,1500,0.190666666666667,0.019
"314","2011-03-07",4.59833333333333,19,86.2666666666667,7,3,2011,960,1600,0.317666666666666,-0.0569999999999999
"320","2011-03-07",5.455,19,148.733333333333,7,3,2011,1020,1700,0.375333333333334,0.034
"326","2011-03-07",5.10333333333333,19,122.266666666667,7,3,2011,1080,1800,0.4145,-0.036
"332","2011-03-07",4.265,19,66.6,7,3,2011,1140,1900,0.372666666666666,-0.045
"338","2011-03-07",4.47833333333333,17,81.5166666666667,7,3,2011,1200,2000,0.354666666666667,-0.023
"344","2011-03-07",4.93666666666667,17,110.766666666667,7,3,2011,1260,2100,0.327166666666667,-0.014
"350","2011-03-07",4.66333333333333,18,89.05,7,3,2011,1320,2200,0.334999999999999,0.027
"356","2011-03-07",3.69666666666667,18,37.1666666666667,7,3,2011,1380,2300,0.450833333333333,-0.043
"362","2011-03-08",3.82666666666667,19,45.2166666666667,8,3,2011,0,0,0.916833333333333,0.046
"368","2011-03-08",3.505,20,33.5333333333333,8,3,2011,240,400,0.55080701754386,-0.0018421052631579
"374","2011-03-08",3.98,19,53.55,8,3,2011,300,500,0.4145,0.00300000000000002
"380","2011-03-08",4.345,20,71.5333333333333,8,3,2011,360,600,0.3525,-0.029
"386","2011-03-08",3.86166666666667,20,47.9666666666667,8,3,2011,420,700,0.4795,-0.033
"392","2011-03-08",4.36166666666667,20,72.85,8,3,2011,480,800,0.398333333333334,-0.017
"398","2011-03-08",5.77166666666667,20,209.5,8,3,2011,540,900,1.25416666666667,0.028
"404","2011-03-08",8.14333333333333,26,588.716666666667,8,3,2011,600,1000,0.785166666666668,0.0390000000000001
"410","2011-03-08",3.69,24,45.3333333333333,8,3,2011,660,1100,0.502666666666666,-0.195
"413","2011-03-08",3.33,23,21.4,8,3,2011,770,1250,0.121125,0.004
"414","2011-03-08",4.904,23,124.4,8,3,2011,790,1310,0.232699999999999,0.043
"419","2011-03-08",4.40166666666667,21,76.5833333333333,8,3,2011,840,1400,0.452666666666666,-0.046
"425","2011-03-08",5.51166666666667,20,166.1,8,3,2011,900,1500,0.519166666666666,0.05
"431","2011-03-08",7.11833333333333,20,383.25,8,3,2011,960,1600,0.285666666666666,0.019
"437","2011-03-08",8.67666666666667,21,678.216666666667,8,3,2011,1020,1700,0.131333333333333,-0.00800000000000001
"443","2011-03-08",8.01333333333333,20,552.966666666667,8,3,2011,1080,1800,0.373000000000002,-0.048
"449","2011-03-08",7.39333333333333,20,478.45,8,3,2011,1140,1900,0.854833333333335,-0.031
"455","2011-03-08",7.21,20,413.85,8,3,2011,1200,2000,0.665666666666668,0.0529999999999999
"461","2011-03-08",8.09333333333333,20,602.933333333333,8,3,2011,1260,2100,0.582000000000001,0.00200000000000013
"467","2011-03-08",9.7475,23,641.75,8,3,2011,1320,2200,0.979416666666669,-0.124
"471","2011-03-08",10.2833333333333,22,794.716666666667,8,3,2011,1380,2300,0.284333333333336,-0.0119999999999999
"477","2011-03-09",10.094,22,745.32,9,3,2011,0,0,0.405199999999997,-0.0319999999999998
"482","2011-03-09",8.672,25,677.12,9,3,2011,490,810,0.523244444444449,-0.000688888888888886
"487","2011-03-09",9.62166666666667,22,838.783333333333,9,3,2011,540,900,0.929999999999999,0.067
"493","2011-03-09",10.04,21,568,9,3,2011,600,1000,0.525999999999999,0.00899999999999999
"494","2011-03-10",8.6775,22,587.025,10,3,2011,680,1120,0.316749999999999,-0.0380000000000001
"498","2011-03-10",8.13666666666667,22,547.416666666667,10,3,2011,720,1200,0.304833333333333,-0.0470000000000001
"504","2011-03-10",7.84,22,485.9,10,3,2011,780,1300,0.188250000000002,0.025
"508","2011-03-11",7.35,22,373.9,11,3,2011,250,410,0.116500000000002,-0.058
"510","2011-03-11",9.308,22,527.3,11,3,2011,670,1110,0.904520879120881,-0.125
"515","2011-03-11",6.31166666666667,22,271.216666666667,11,3,2011,720,1200,0.365000000000002,0.0350000000000001
"521","2011-03-11",8.38166666666667,22,543.65,11,3,2011,780,1300,0.61116666666667,0.108
"527","2011-03-11",7.8,21,291.45,11,3,2011,840,1400,0.3514,-0.231
"529","2011-03-11",8.235,22,503.775,11,3,2011,980,1620,0.182499999999999,-0.00200000000000013
"533","2011-03-11",7.595,22,451.516666666667,11,3,2011,1020,1700,0.188666666666669,-0.212
"539","2011-03-11",8.465,22,582.4,11,3,2011,1080,1800,0.316000000000001,0.047
"545","2011-03-11",8.73666666666667,22,587.483333333333,11,3,2011,1140,1900,0.340000000000001,-0.0130000000000001
"551","2011-03-11",9.13,23,496.7,11,3,2011,1200,2000,0.3315,0.067
"553","2011-03-14",6.092,22,208.6,14,3,2011,790,1310,0.345630769230769,-0.000817948717948718
"558","2011-03-14",7.74,21,337.5,14,3,2011,1000,1640,0.0659999999999997,0.017
"559","2011-03-14",7.825,24,272.1,14,3,2011,1240,2040,0.31728125,-0.0056875
"561","2011-03-14",7.13166666666667,23,367.05,14,3,2011,1260,2100,0.346833333333334,-0.073
"567","2011-03-14",6.40833333333333,22,255.5,14,3,2011,1320,2200,0.270499999999999,-0.041
"573","2011-03-14",6.67833333333333,23,290.416666666667,14,3,2011,1380,2300,0.291166666666667,0.0180000000000001
"579","2011-03-15",5.86,23,198.516666666667,15,3,2011,0,0,0.414333333333334,-0.0390000000000001
"585","2011-03-15",4.53666666666667,23,85.6666666666667,15,3,2011,60,100,0.453,-0.075
"591","2011-03-15",5.45666666666667,22,160.85,15,3,2011,120,200,0.36,0.037
"597","2011-03-15",6.085,23,220.4,15,3,2011,180,300,0.443666666666667,0.00800000000000001
"603","2011-03-15",5.555,23,164.933333333333,15,3,2011,240,400,0.314,0.000999999999999979
