TIME_STAMP,TIME_SPAN,WIND_SPEED,WIND_DIR,POWER
3/3/2011,15:56-16:00,3.72,192,0
3/3/2011,16:00-16:10,4.29,179.35,0
3/3/2011,16:10-16:20,4.13,174.35,0
3/3/2011,16:20-16:30,3.96,172.39,0
3/3/2011,16:30-16:40,4.18,172.59,0
3/3/2011,16:40-16:50,4.66,165.95,0
3/3/2011,16:50-17:00,5.29,164.27,0
3/3/2011,17:00-17:10,5.58,163.07,0
3/3/2011,17:10-17:20,5.23,167.26,0
3/3/2011,17:20-17:30,5.17,162.13,0
3/3/2011,17:30-17:40,5.53,164.15,0
3/3/2011,17:40-17:50,5.66,165.71,0
3/3/2011,17:50-18:00,5.98,168.33,0
3/3/2011,18:00-18:10,5.95,167.02,0
3/3/2011,18:10-18:20,6.24,167.52,0
3/3/2011,18:20-18:30,5.9,172.16,0
3/3/2011,18:30-18:40,6.35,168.9,0
3/3/2011,18:40-18:50,6.48,167.51,0
3/3/2011,18:50-19:00,6.54,163.86,0
3/3/2011,19:00-19:10,6.66,162.98,0
3/3/2011,19:10-19:20,6.83,159.88,0
3/3/2011,19:20-19:30,6.72,156.63,0
3/3/2011,19:30-19:40,6.79,153.85,0
3/3/2011,19:40-19:50,7.06,160.63,0
3/3/2011,19:50-20:00,6.87,156.7,0
3/3/2011,20:00-20:10,6.46,163.56,0
3/3/2011,20:13-20:20,5.69,161.89,0
3/3/2011,20:20-20:30,5.35,167.64,0
3/3/2011,20:30-20:40,5.46,177.32,0
3/3/2011,20:40-20:50,4.99,171.11,0
3/3/2011,20:50-21:00,5.16,174.45,0
3/3/2011,21:00-21:10,4.91,176.57,0
3/3/2011,21:10-21:20,4.75,174.84,0
3/3/2011,21:20-21:30,4.32,187.18,0
3/3/2011,21:30-21:40,4.47,189.63,0
3/3/2011,21:40-21:50,3.59,198.14,0
3/3/2011,21:50-22:00,3.44,195.12,0
3/3/2011,22:00-22:10,4.17,193.06,0
3/3/2011,22:10-22:20,4,199.9,0
3/3/2011,22:20-22:30,3.99,190.4,0
3/3/2011,22:30-22:40,3.62,196.3,0
3/3/2011,22:40-22:50,3.63,205.57,0
3/3/2011,22:50-23:00,4.03,208.72,0
3/3/2011,23:00-23:10,3.65,204.18,0
3/3/2011,23:10-23:20,4.42,204.42,0
3/3/2011,23:20-23:30,4.04,204.03,0
3/3/2011,23:30-23:40,3.85,203.75,0
3/3/2011,23:40-23:50,3.75,202.33,0
3/3/2011,23:50-24:00,4.05,204.06,0
4/3/2011,00:00-00:10,4.23,199.63,0
4/3/2011,00:10-00:20,4.4,205.17,0
4/3/2011,00:20-00:30,3.88,207.71,0
4/3/2011,00:30-00:40,4.17,197.98,0
4/3/2011,00:40-00:50,3.37,199.41,0
4/3/2011,00:50-01:00,3.22,204.83,0
4/3/2011,01:00-01:10,3.86,203.18,0
4/3/2011,01:10-01:20,3.68,197.36,0
4/3/2011,01:20-01:30,3.8,202.63,0
4/3/2011,01:30-01:40,4.5,208.3,0
4/3/2011,01:40-01:50,4.37,210.06,0
4/3/2011,01:50-02:00,4.59,212.52,0
4/3/2011,02:00-02:10,4.22,205.66,0
4/3/2011,02:10-02:20,4.15,212.88,0
4/3/2011,02:20-02:30,3.78,212.7,0
4/3/2011,02:30-02:40,2.99,203.16,0
4/3/2011,02:40-02:50,2.89,213.27,0
4/3/2011,02:50-03:00,3.04,215.53,0
4/3/2011,03:00-03:10,3.26,229.42,0
4/3/2011,03:10-03:20,3.44,235.27,0
4/3/2011,03:20-03:30,3.48,239.46,0
4/3/2011,03:30-03:40,3.31,239.51,0
4/3/2011,03:40-03:50,3.37,235.82,0
4/3/2011,03:50-04:00,4.2,242.32,0
4/3/2011,04:00-04:10,4.12,242.56,0
4/3/2011,04:10-04:20,4.06,245.29,0
4/3/2011,14:00-14:10,3.61,170.3,-1
4/3/2011,14:00-14:10,4.11,164,-1
4/3/2011,14:10-14:20,3.39,169.71,-1
4/3/2011,14:20-14:30,3.74,167.76,-1
4/3/2011,14:30-14:40,4.37,158,-1
4/3/2011,14:40-14:50,4.38,161.51,-1
4/3/2011,14:50-15:00,4.15,167.15,-0.9
4/3/2011,15:00-15:10,3.96,163.9,-0.1
4/3/2011,15:10-15:20,4.04,164.61,-1
4/3/2011,15:20-15:30,4.44,168.17,-2.2
4/3/2011,15:30-15:40,4.28,174.66,-2
4/3/2011,15:40-15:50,4.92,177.11,-1.4
4/3/2011,15:50-16:00,4.78,169.87,17.3
4/3/2011,16:00-16:10,4.79,169.34,14.8
4/3/2011,16:10-16:20,4.8,179.95,24.4
4/3/2011,16:20-16:30,6.28,176.13,187.9
4/3/2011,16:30-16:40,6.42,172.71,282.1
4/3/2011,16:40-16:50,6.74,171.62,333.8
4/3/2011,16:50-17:00,6.64,175.26,289.2
4/3/2011,17:00-17:10,6.43,179.5,247.8
4/3/2011,17:10-17:20,6.09,178.92,226.7
4/3/2011,17:20-17:30,5.38,174.75,150
4/3/2011,17:30-17:40,5.35,175.1,132.2
4/3/2011,17:40-17:50,5.38,175.61,141.7
4/3/2011,17:50-18:00,5.79,170.3,197.4
4/3/2011,18:00-18:10,6.42,174.5,248.9
